WIDTH,BASEHEIGHT,ISCHIALWIDTH,ISCHIALRAD,MATFOAM,PATTERN
8,3,7.3,2.5,EVA45-10MMG5020-020,1125-XXXX-0HC_KIDZ
9,3,9.8,2.5,EVA45-10MMG5020-020,1125-XXXX-0HC_KIDZ
10,3,12.3,2.5,EVA45-10MMG5020-020,1125-XXXX-0HC_KIDZ
11,3,12.3,2.5,EVA45-10MMG5020-020,1125-XXXX-0HC_KIDZ
12,3,14.8,2.5,EVA45-10MMG5020-020,1125-XXXX-0HC_KIDZ
13,3.5,14.8,2.5,EVA45-10MMG5025-025,1125-XXXX-0HC_KIDZ
14,3.5,17.3,4.5,EVA45-10MMG5025-025,1125-XXXX-0HC 
15,4,17.3,4.5,EVA45-10MMG5025-030,1125-XXXX-0HC 
16,4,19.7,4.5,EVA45-10MMG5025-030,1125-XXXX-0HC 
17,4,19.7,4.5,EVA45-10MMG5025-030,1125-XXXX-0HC 
18,4.5,19.7,4.5,EVA45-10MMG5025-035,1125-XXXX-0HC 
19,4.5,19.7,4.5,EVA45-10MMG5025-035,1125-XXXX-0HC 
20,4.5,19.7,4.5,EVA45-10MMG5025-035,1125-XXXX-0HC 
21,4.5,19.7,4.5,EVA45-10MMG5025-035,1125-XXXX-0HC 
22,6.5,21.4,5,0021-5032-045,1125-XXXX-0HC-XL
23,6.5,21.4,5,0021-5032-045,1125-XXXX-0HC-XL
24,6.5,21.4,5,0021-5032-045,1125-XXXX-0HC-XL
25,6.5,21.4,5,0021-5032-045,1125-XXXX-0HC-XL
26,6.5,21.4,5,0021-5032-045,1125-XXXX-0HC-XL
27,6.5,21.4,5,0021-5032-045,1125-XXXX-0HC-XL
28,6.5,21.4,5,0021-5032-045,1125-XXXX-0HC-XL
29,6.5,21.4,5,0021-5032-045,1125-XXXX-0HC-XL
30,6.5,21.4,5,0021-5032-045,1125-XXXX-0HC-XL
