WIDTH,BASEHEIGHT,ISCHIALWIDTH,ISCHIALRAD,MATFOAM,PATTERN
8,3,7.3,2.5,EVA45-10MMG5020-020,1125-XXXX-0SC_KIDZ
9,3,9.8,2.5,EVA45-10MMG5020-020,1125-XXXX-0SC_KIDZ
10,3,12.3,2.5,EVA45-10MMG5020-020,1125-XXXX-0SC_KIDZ
11,3,12.3,2.5,EVA45-10MMG5020-020,1125-XXXX-0SC_KIDZ
12,3,14.8,2.5,EVA45-10MMG5020-020,1125-XXXX-0SC_KIDZ
13,3.5,14.8,2.5,EVA45-10MMG5025-025,1125-XXXX-0SC_KIDZ
14,3.5,17.3,4.5,EVA45-10MMG5025-025,1125-XXXX-0SC 
15,4,17.3,4.5,EVA45-10MMG5025-030,1125-XXXX-0SC 
16,4,19.7,4.5,EVA45-10MMG5025-030,1125-XXXX-0SC 
17,4,19.7,4.5,EVA45-10MMG5025-030,1125-XXXX-0SC 
18,4.5,19.7,4.5,EVA45-10MMG5025-035,1125-XXXX-0SC 
19,4.5,19.7,4.5,EVA45-10MMG5025-035,1125-XXXX-0SC 
20,4.5,19.7,4.5,EVA45-10MMG5025-035,1125-XXXX-0SC 
21,4.5,19.7,4.5,EVA45-10MMG5025-035,1125-XXXX-0SC 
 ,,,,,
