quantity,prefix,style and dimensions,outer cover,foam,underpanel,incontinence cover,colour,notes,descriptions,pn,part_of_sequence,date_as_string,rigidiser cover
1,1125,00 - 1315,1,0,0,0,000 Black,1111-0335-000: No pommel shaping/contouring on cushion; 1111-0491-028: Change cushion outer cover border fabric to Calypso Pink; Jay-Label: Attach Jay Label. Note: Spex Manufacturing Notes. Note: Classic Kidz High-Contour,Spex cushion spare outer cover - custom modified shape to suit scripted cushion 13x15 0HC with custom elements,1125-2949-600,20.2,221116,0
1,1105,AS - 1818,1,1,1,1,000 Black,,"Spex Classic Air Standard Contour adjustable cushion, 18"" wide x 18"" deep, with Dual Valve Air Cells in Ischial Well. Includes contouring cell system for pelvis, hip and leg positioning. Includes incontinence cover and outer washable cover.",1105-1818-DASC,9.1,221117,0
1,1105,HC - 1315,1,1,1,1,028 Calypso Pink,1111-0335-000: No pommel shaping/contouring on cushion; Jay-Label: Attach Jay Label; 1111-0491-028: Change cushion outer cover border fabric to Calypso Pink,"Spex Classic Kidz High-Contour adjustable cushion, 13"" wide x [15]"" deep, with contouring cell system for pelvis, hip and leg positioning.",1105-13XX-0HC_028,20.1,221116,0
1,1110,00 - 1414,0,0,0,0,,,"Cushion Rigidiser 14""x14""",1110-1414-200,18.1,221121,1
1,1105,HC - 1212,1,1,1,1,000 Black,Jay-Label: Attach Jay Label,"Spex Classic Kidz High-Contour adjustable cushion, 12"" wide x 12"" deep, with contouring cell system for pelvis, hip and leg positioning.",1105-1212-0HC,14.1,221117,0
1,1125,HC - 1416,1,0,0,0,000 Black,,"Spex High Contour Cushion spare outer breathable cover, 14"" wide x 16"" deep",1125-1416-6HC,6.2,221116,0
1,1110,00 - 1618,0,0,0,0,,,"Cushion Rigidiser 16""x18""",1110-1618-200,2.13,221110,1
1,1105,HC - 1213,1,1,1,1,000 Black,Jay-Label: Attach Jay Label,"Spex Classic Kidz High-Contour adjustable cushion, 12"" wide x [13]"" deep, with contouring cell system for pelvis, hip and leg positioning.",1105-12XX-0HC,25.1,221117,0
1,1110,00 - 1618,0,0,0,0,,,"Cushion Rigidiser 16""x18""",1110-1618-200,7.1,221122,1
1,1110,00 - 1718,0,0,0,0,,,"Cushion Rigidiser 17""x18""",1110-1718-200,21.3,221107,1
1,1125,HC - 1213,1,0,0,0,000 Black,Jay-Label: Attach Jay Label,"Spex High Contour Cushion spare outer breathable cover, 12"" wide x [13]"" deep",1125-12XX-6HC,25.2,221117,0
